case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
vite-docs-philosophy,3575,technical-docs,gfm,fresh,v2,no,3798.900469167357,3776.5751903004766,3836.566213726056,1.0
vite-docs-philosophy,3575,technical-docs,gfm,fresh,ox-content,no,3965.1940268987346,3936.687254323899,4005.0487596448247,0.9580616845977045
vite-docs-philosophy,3575,technical-docs,gfm,fresh,v1,no,4447.4955048695765,4393.174342105263,4466.150365602758,0.8541662301868387
vite-docs-philosophy,3575,technical-docs,gfm,fresh,md4c,no,8402.579575643176,8337.028249172185,8455.913851351352,0.45211121596269677
vite-docs-philosophy,3575,technical-docs,gfm,fresh,pulldown-cmark,no,7477.624828468064,7398.632948464148,7497.958224176647,0.5080357140551588
vite-docs-philosophy,3575,technical-docs,gfm,fresh,bun,no,18991.517045454544,18585.276884191175,19103.554924242424,0.20003143825082637
vite-docs-performance,8184,technical-docs,gfm,fresh,v2,no,9091.820538949276,9022.40660971223,9146.688754562045,1.0
vite-docs-performance,8184,technical-docs,gfm,fresh,ox-content,no,9302.203935185185,9262.259650735294,9367.799673507463,0.9773834891492603
vite-docs-performance,8184,technical-docs,gfm,fresh,v1,no,11420.040198863637,11364.934406992219,11467.6078125,0.7961285932998701
vite-docs-performance,8184,technical-docs,gfm,fresh,md4c,no,19865.748329768103,19782.88527328249,19918.9816468254,0.4576631289205206
vite-docs-performance,8184,technical-docs,gfm,fresh,pulldown-cmark,no,18456.312959558825,18357.733016304348,18518.487591911762,0.4926130456755434
